id,education_level,education_major_at_highest_level,current_job_title,sex,zip_code,certifications,birth_date,current_job_start_date,years_experience
101,Bachelors,Data Science,Mechanical Engineer,M,98101,Six Sigma,1998-09-07,2021-04-17,4
102,Masters,Mathematics,Marketing Specialist,M,98101,Scrum Master,1971-02-14,2005-06-11,20
103,PhD,Physics,UX Designer,M,33101,Scrum Master,1980-12-26,2012-12-25,12
104,Bachelors,Psychology,Product Manager,F,30309,Tableau,1976-04-05,2002-11-04,22
105,Bachelors,Mechanical Engineering,Mechanical Engineer,F,98101,CFA,2000-05-10,2025-05-25,0
106,Masters,Computer Science,Software Engineer,F,10001,None,1973-11-25,2022-05-16,3
107,PhD,Economics,Marketing Specialist,M,60614,Tableau,1988-12-04,2011-08-16,14
108,PhD,Business Administration,Data Analyst,M,30309,Scrum Master,1971-05-04,1997-07-11,28
109,Bachelors,Economics,Software Engineer,M,60614,Six Sigma,1979-10-23,2012-03-24,13
110,Associate,Psychology,Business Analyst,F,10001,UX-C,1992-09-01,2021-05-27,4
111,Bachelors,Political Science,Business Analyst,M,98101,Scrum Master,1971-03-11,2018-05-08,7
112,Bachelors,Political Science,QA Tester,F,98101,Six Sigma,1978-12-02,2025-05-07,0
113,Bachelors,Mechanical Engineering,Product Manager,F,33101,Tableau,1988-10-26,2015-09-30,10
114,Bachelors,Business Administration,UX Designer,M,98101,CFA,1990-02-24,2025-05-08,0
115,Masters,Mathematics,Mechanical Engineer,M,30309,Scrum Master,1982-06-24,2022-08-13,3
116,PhD,Mechanical Engineering,Research Scientist,F,10001,PMP,1970-04-17,1999-06-09,26
117,Masters,Economics,Data Analyst,M,75201,Six Sigma,1988-12-16,2018-07-29,7
118,Masters,Mechanical Engineering,Marketing Specialist,F,10001,CFA,1982-06-19,2007-12-08,17
119,Masters,Economics,UX Designer,M,30309,UX-C,1979-08-29,2016-09-27,9
120,Bachelors,Physics,Software Engineer,M,30309,UX-C,1974-08-02,2000-09-23,25
121,Associate,Political Science,Business Analyst,F,33101,None,1987-01-16,2011-03-13,14
122,PhD,Physics,Data Analyst,M,33101,Six Sigma,1986-02-07,2015-10-20,9
123,Associate,Computer Science,Research Scientist,F,98101,Tableau,1997-01-30,2022-01-12,3
124,Masters,Business Administration,Mechanical Engineer,M,80202,None,1971-12-13,2014-07-17,11
125,Masters,Mathematics,QA Tester,F,10001,None,1994-01-20,2017-06-09,8
126,Associate,Economics,Research Scientist,F,10001,AWS,1986-12-24,2010-09-24,15
127,Associate,Mathematics,Data Analyst,M,80202,Scrum Master,1994-10-06,2020-01-13,5
128,Associate,Economics,Research Scientist,F,33101,Six Sigma,1998-03-14,2024-03-28,1
129,Masters,Psychology,Data Analyst,M,98101,None,1995-11-25,2020-01-15,5
130,Masters,Mechanical Engineering,Data Analyst,M,80202,AWS,1973-02-13,1997-02-27,28
131,PhD,Computer Science,Systems Analyst,M,98101,Tableau,1999-08-31,2022-12-04,2
132,PhD,Political Science,Marketing Specialist,F,98101,CFA,1982-12-25,2006-10-03,19
133,Masters,Economics,Business Analyst,F,98101,PMP,1980-06-11,2006-12-16,18
